timestamp,right_torque_Nm,left_torque_Nm
1781174227.0576663,-0.0073260073260073,0.0
1781174227.067807,-0.0073260073260073,0.0
1781174227.0780628,-0.0073260073260073,0.0
1781174227.0883155,-0.0073260073260073,0.0
1781174227.098488,-0.0073260073260073,0.0
1781174227.10882,-0.0073260073260073,0.0
1781174227.11898,-0.0073260073260073,0.0
1781174227.1292143,-0.0073260073260073,0.0
1781174227.1394422,-0.0073260073260073,0.0
1781174227.1495662,-0.0073260073260073,0.0
1781174227.159673,-0.0073260073260073,0.0
1781174227.1697798,-0.0073260073260073,0.0
1781174227.1800148,-0.0073260073260073,0.0
1781174227.1901424,-0.0073260073260073,0.0
1781174227.200262,-0.0073260073260073,0.0
1781174227.21043,-0.0073260073260073,0.0
1781174227.2205608,-0.0073260073260073,0.0
1781174227.2306685,-0.0073260073260073,0.0
1781174227.240775,-0.0073260073260073,0.0
1781174227.2508795,-0.0073260073260073,0.0
1781174227.2611291,-0.0073260073260073,0.0
1781174227.271244,-0.0073260073260073,0.0
1781174227.2813888,-0.0073260073260073,0.0
1781174227.2915394,-0.0073260073260073,0.0
1781174227.301693,-0.0073260073260073,0.0
1781174227.3118343,-0.0073260073260073,0.0
1781174227.3219876,-0.0073260073260073,0.0
1781174227.3321154,-0.0073260073260073,0.0
1781174227.3422213,-0.0073260073260073,0.0
1781174227.3523645,-0.0073260073260073,0.0
1781174227.3624818,-0.0073260073260073,0.0
1781174227.3726063,-0.0073260073260073,0.0
1781174227.3827167,-0.0073260073260073,0.0
1781174227.3928332,-0.0073260073260073,0.0
1781174227.4030883,-0.0073260073260073,0.0
1781174227.4132051,-0.0073260073260073,0.0
1781174227.4233677,-0.0073260073260073,0.0
1781174227.4334817,-0.0073260073260073,0.0
1781174227.4436245,-0.0073260073260073,0.0
1781174227.4537468,-0.0073260073260073,0.0
1781174227.464368,-0.0073260073260073,0.0
1781174227.4744728,-0.0073260073260073,0.0
1781174227.4845982,-0.0073260073260073,0.0
1781174227.4947436,-0.0073260073260073,0.0
1781174227.5048509,-0.0073260073260073,0.0
1781174227.5149627,-0.0073260073260073,0.0
1781174227.525084,-0.0073260073260073,0.0
1781174227.535229,-0.0073260073260073,0.0
1781174227.5453725,-0.0073260073260073,0.0
1781174227.5556428,-0.0073260073260073,0.0
1781174227.5657725,-0.0073260073260073,0.0
1781174227.5758946,-0.0073260073260073,0.0
1781174227.5860105,-0.0073260073260073,0.0
1781174227.5961518,-0.0073260073260073,0.0
1781174227.606297,-0.0073260073260073,0.0
1781174227.6164083,-0.0073260073260073,0.0
1781174227.6265192,-0.0073260073260073,0.0
1781174227.6366215,-0.0073260073260073,0.0
1781174227.6467292,-0.0073260073260073,0.0
1781174227.6568375,-0.0073260073260073,0.0
1781174227.6670427,-0.0073260073260073,0.0
1781174227.6771746,-0.0073260073260073,0.0
1781174227.6874046,-0.0073260073260073,0.0
1781174227.6975129,-0.0073260073260073,0.0
1781174227.7076175,-0.0073260073260073,0.0
1781174227.7177184,-0.0073260073260073,0.0
1781174227.7278564,-0.0073260073260073,0.0
1781174227.7381306,-0.0073260073260073,0.0
1781174227.7484062,-0.0073260073260073,0.0
1781174227.758651,-0.0073260073260073,0.0
1781174227.7689037,-0.0073260073260073,0.0
